Ind,Target,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1,1,3.0,12,3,1.143,0,0,1,0.23600000000000002,12,-1.854,30,23,4,12,0.44799999999999995,0,0,0.8,0.25,429
2,1,7.0,12,10,1.949,1,0,1,0.63,15,-1.645,29,10,7,16,0.6,0,0,0.828,0.562,39
3,0,20.0,23,16,-13.124,0,0,1,0.271,21,-8.482999999999999,18,30,21,25,0.21899999999999997,0,0,1.3330000000000002,0.64,57
4,0,0.0,22,14,-16.258,0,0,0,0.406,24,1.335,30,26,21,3,0.573,0,0,0.7839789159724365,4.667,787
5,0,109.56,23,24,-26.02,1,0,1,0.063,1,-112.806,30,30,69,30,0.075,0,0,0.8,0.8,165
6,0,54.89,23,24,-36.397,1,0,2,0.068,4,-15.515,30,30,72,27,0.083,0,0,0.8,0.889,116
7,0,8.0,23,20,0.825,0,0,1,0.09,4,-0.6509999999999999,30,27,6,9,0.17600000000000002,0,0,0.8,2.222,357
8,1,0.0,23,24,-3.475,0,0,0,0.41200000000000003,24,-0.382,26,25,5,12,0.682,1,13,0.769,2.0,0
9,0,10.0,12,3,4.43,1,0,1,0.223,15,5.505,30,21,3,0,0.254,1,0,0.8,3.0,564
10,0,0.0,9,0,4.587,1,0,0,0.23600000000000002,24,9.397,30,16,15,0,0.295,1,0,0.8,0.0,959
11,0,3.0,23,0,10.24,0,0,1,0.129,14,7.108,30,30,3,0,0.35700000000000004,0,0,0.8,0.0,3679
12,0,10.05,23,0,2.8960000000000004,0,0,3,0.172,1,1.1909999999999998,30,29,2,1,0.262,0,0,0.8,0.0,1493
13,0,10.0,23,24,-13.748,0,0,1,0.408,2,-15.285,28,30,11,23,0.728,0,0,0.7859999999999999,1.043,0
14,0,13.0,20,3,0.995,0,0,5,0.331,4,-0.525,27,25,1,8,0.384,0,0,0.815,0.375,15
15,0,8.0,16,24,-1.3330000000000002,1,0,1,0.201,12,-4.497,30,26,6,26,0.33799999999999997,0,0,0.8,0.769,1288
16,0,4.0,22,0,4.5360000000000005,1,0,1,0.187,8,2.089,30,27,4,0,0.366,0,0,0.8,0.0,1363
17,1,0.0,9,28,-31.4,0,0,0,0.762,24,-10.456,23,30,18,28,0.6409999999999999,1,5,0.0,0.857,0
18,0,4.0,23,0,5.66,1,0,1,0.13,20,4.357,30,30,5,0,0.364,0,0,0.8,0.0,892
19,1,65.0,15,24,-3.3169999999999997,1,0,2,0.423,1,-47.909,28,30,30,30,0.698,0,0,0.536,0.8,14
20,1,0.0,23,3,-1.442,1,0,0,0.21,24,-7.8389999999999995,30,30,20,16,0.568,0,0,0.8,0.188,306
21,0,0.0,0,24,-30.656,1,0,0,0.951,24,-13.333,27,26,11,22,0.8370000000000001,1,23,0.0,1.091,0
22,0,10.0,23,15,1.1320000000000001,0,0,1,0.24,3,-18.195,30,22,11,30,0.312,0,0,0.8,0.5,25
23,0,0.0,13,5,-1.954,1,0,0,0.268,24,-4.444,30,21,8,17,0.281,0,17,0.8,0.294,1533
24,0,10.0,21,12,5.318,1,0,1,0.141,3,2.9360000000000004,30,24,5,0,0.28600000000000003,0,0,0.8,12.0,1397
25,0,62.0,22,21,-3.535,1,0,2,0.259,8,-6.281000000000001,30,29,30,22,0.32299999999999995,0,0,0.8,0.955,233
26,0,10.0,22,16,0.812,0,0,1,0.243,8,-2.912,30,21,5,19,0.40399999999999997,0,0,0.8,0.8420000000000001,3657
27,1,10.42,23,17,0.773,0,0,1,0.26,7,-1.6,30,30,7,7,0.629,0,0,0.7,2.4290000000000003,7
28,0,8.0,23,0,5.642,1,0,2,0.11599999999999999,8,5.202000000000001,30,30,6,0,0.27899999999999997,0,0,0.8,0.0,1606
29,1,0.0,19,14,-4.18,0,0,0,0.431,24,-5.457999999999999,29,27,10,23,0.795,0,0,0.828,0.609,27
30,1,5.0,19,16,-3.57,1,0,1,0.37200000000000005,22,5.169,30,20,12,6,0.57,1,0,0.8,2.667,107
31,0,0.0,22,6,-2.3480000000000003,1,0,0,0.182,24,19.575,30,29,50,0,0.27399999999999997,1,12,0.8,6.0,2281
32,1,20.0,13,5,15.627,0,0,1,0.677,4,0.245,30,16,13,9,0.679,0,0,0.8,0.556,168
33,1,15.0,12,19,2.6489999999999996,1,0,2,0.413,5,-9.293,28,24,8,30,0.653,0,0,0.679,0.633,5
34,0,10.79,23,24,-7.654,1,0,1,0.07,12,-14.373,30,29,10,30,0.131,0,0,0.8,0.8,5649
35,1,55.6,15,11,-1.016,0,0,5,0.889,4,-2.2319999999999998,16,20,6,14,0.8190000000000001,0,0,0.812,0.7859999999999999,0
36,0,12.0,23,3,7.257999999999999,0,0,1,0.19899999999999998,11,4.42,30,30,10,0,0.31,0,0,0.8,3.0,290
37,0,0.0,23,6,-12.640999999999998,1,0,0,0.121,24,-41.776,30,30,46,22,0.179,0,2,0.8,1.0235964376053963,165
38,1,3.5,7,28,-3.985,1,0,1,0.857,6,-4.887,22,8,3,30,0.693,0,0,1.0,0.8,6
39,0,2.07,17,18,-2.64,0,0,1,0.06,21,-1.422,30,28,2,13,0.193,0,0,0.8,1.385,3177
40,0,40.0,21,14,15.895,1,0,2,0.047,5,-10.517999999999999,30,30,10,19,0.07400000000000001,0,0,0.8,0.737,2103
41,0,20.0,22,19,-4.016,0,0,2,0.184,9,-3.9339999999999997,30,30,6,13,0.384,0,0,0.8,1.462,1262
42,0,14.96,19,24,-7.6,1,0,1,0.21,14,-12.001,30,28,11,30,0.374,0,0,0.8,0.8,225
43,0,0.0,23,23,-2.728,0,0,0,0.2,24,-31.139,20,30,0,26,0.342,1,24,0.9,0.885,5
44,0,0.0,23,20,-6.706,0,0,0,0.10400000000000001,24,-15.23,30,30,16,21,0.102,0,6,0.8,1.0235964376053963,231
45,0,35.0,23,17,-23.971,0,0,1,0.665,21,-7.3420000000000005,27,30,24,19,0.7929999999999999,0,0,0.7040000000000001,0.895,0
46,0,9.0,23,0,5.404,1,0,2,0.048,4,-0.14400000000000002,30,30,3,2,0.114,0,0,0.8,0.0,1543
47,0,0.0,22,0,52.5,0,0,0,0.16899999999999998,24,94.381,30,26,20,0,0.159,1,0,0.8,0.0,384
48,0,40.0,23,0,49.606,0,0,1,0.049,4,9.995,30,30,40,0,0.071,0,0,0.8,0.0,3822
49,0,20.0,13,24,-6.832000000000001,1,0,1,0.6559999999999999,4,-12.125,26,18,13,24,0.732,0,0,0.6920000000000001,1.0235964376053963,4
50,0,15.0,23,24,-2.543,1,0,1,0.349,4,-19.285999999999998,24,29,8,30,0.309,0,0,0.875,0.8,4
51,0,20.0,22,24,-177.71400000000003,1,0,1,0.13,1,-88.441,30,30,72,30,0.13,0,0,0.8,0.8,190
52,0,16.76,23,24,-11.9,1,0,1,0.693,4,-14.075,18,20,12,28,0.401,0,0,1.3330000000000002,0.857,63
53,0,50.0,23,24,-9.48,1,0,1,0.154,10,-50.466,30,27,40,30,0.21899999999999997,0,0,0.8,0.8,130
54,0,16.09,23,24,-11.523,1,0,1,0.34600000000000003,10,-22.458000000000002,30,30,16,30,0.58,0,0,0.8,0.8,105
55,1,0.0,13,0,1.844,0,0,0,0.348,24,0.619,30,19,5,1,0.65,0,3,0.8,1.0235964376053963,973
56,0,1.0,18,1,-0.067,0,0,1,0.111,16,1.271,30,29,4,0,0.17300000000000001,0,0,0.8,1.0235964376053963,1904
57,0,10.0,20,22,-7.76,0,0,1,0.736,21,-7.733,20,29,5,24,0.763,0,0,1.0,0.792,0
58,1,28.0,6,18,2.738,0,0,3,0.9279999999999999,6,-24.498,17,25,9,30,0.7966418604651166,1,0,0.41200000000000003,0.6,6
59,0,45.0,23,24,-39.861999999999995,1,0,2,0.84,1,-78.42399999999999,22,25,52,30,0.637,0,0,1.091,0.8,26
60,0,8.0,21,24,-4.88,1,0,1,0.389,13,-4.071000000000001,29,23,5,28,0.5670000000000001,0,0,0.828,0.857,71
61,1,0.0,7,0,4.62,0,0,0,0.833,24,5.0,30,9,0,0,0.684,1,24,0.8,0.0,325
62,1,7.0,15,20,0.306,0,0,1,0.768,6,0.318,23,22,4,8,0.852,0,0,0.7829999999999999,2.125,6
63,0,5.0,23,6,-1.5519999999999998,1,0,1,0.037000000000000005,18,-1.0170000000000001,30,30,6,11,0.073,0,0,0.8,0.545,5089
64,1,5.0,5,19,-0.078,1,0,1,0.7340000000000001,6,-2.244,30,19,3,24,0.613,0,0,0.6,0.792,6
65,1,60.0,10,0,6.858,0,0,1,0.612,15,3.0989999999999998,30,14,60,0,0.7190000000000001,0,0,0.8,0.0,269
66,0,26.88,23,22,-5.595,0,0,1,0.07200000000000001,13,-19.522000000000002,28,29,23,26,0.099,1,0,0.536,1.0235964376053963,13
67,1,10.0,10,19,3.3369999999999997,1,0,1,0.736,5,-8.892999999999999,19,9,8,28,0.755,0,0,1.263,0.679,35
68,0,12.0,23,0,6.058,1,0,2,0.12300000000000001,3,1.554,30,30,5,1,0.32899999999999996,0,0,0.8,0.0,2777
69,0,10.0,23,24,-12.904000000000002,1,0,1,0.124,12,-33.949,30,30,23,30,0.18,0,0,0.8,0.8,164
70,0,17.0,23,11,0.067,1,0,2,0.079,13,-0.205,30,27,16,14,0.114,0,0,0.8,0.7859999999999999,289
71,0,13.0,23,0,4.888999999999999,0,0,4,0.094,8,1.195,30,30,2,0,0.212,0,0,0.8,0.0,2132
